flipped,year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
False,2012,IOWA,IA,19,42,31,US HOUSE,1,gen,,False,BRUCE L. BRALEY,DEMOCRAT,False,TOTAL,222422,390849,False,20201202,False
False,2012,IOWA,IA,19,42,31,US HOUSE,2,gen,,False,DAVID LOEBSACK,DEMOCRAT,False,TOTAL,211863,381275,False,20201202,False
True,2012,IOWA,IA,19,42,31,US HOUSE,3,gen,,False,TOM LATHAM,REPUBLICAN,False,TOTAL,202000,386842,False,20201202,False
False,2012,IOWA,IA,19,42,31,US HOUSE,4,gen,,False,STEVE KING,REPUBLICAN,False,TOTAL,200063,377883,False,20201202,False
False,2012,KANSAS,KS,20,47,32,US HOUSE,1,gen,,False,TIM HUELSKAMP,REPUBLICAN,False,TOTAL,211337,211337,False,20201202,False
False,2012,KANSAS,KS,20,47,32,US HOUSE,2,gen,,False,LYNN JENKINS,REPUBLICAN,False,TOTAL,167463,293718,False,20201202,False
False,2012,KANSAS,KS,20,47,32,US HOUSE,3,gen,,False,KEVIN YODER,REPUBLICAN,False,TOTAL,201087,293762,False,20201202,False
False,2012,KANSAS,KS,20,47,32,US HOUSE,4,gen,,False,MIKE POMPEO,REPUBLICAN,False,TOTAL,161094,258922,False,20201202,False
False,2012,KENTUCKY,KY,21,61,51,US HOUSE,1,gen,,False,ED WHITFIELD,REPUBLICAN,False,TOTAL,199956,287155,False,20201202,False
False,2012,KENTUCKY,KY,21,61,51,US HOUSE,2,gen,,False,BRETT GUTHRIE,REPUBLICAN,False,TOTAL,181508,282267,False,20201202,False
False,2012,KENTUCKY,KY,21,61,51,US HOUSE,3,gen,,False,JOHN A. YARMUTH,DEMOCRAT,False,TOTAL,206385,322656,False,20201202,False
False,2012,KENTUCKY,KY,21,61,51,US HOUSE,4,gen,,False,THOMAS MASSIE,REPUBLICAN,False,TOTAL,186036,299444,False,20201202,False
False,2012,KENTUCKY,KY,21,61,51,US HOUSE,5,gen,,False,HAROLD ROGERS,REPUBLICAN,False,TOTAL,195408,250855,False,20201202,False
True,2012,KENTUCKY,KY,21,61,51,US HOUSE,6,gen,,False,GARLAND ??ANDY?? BARR,REPUBLICAN,False,TOTAL,153222,303000,False,20201202,False
False,2012,LOUISIANA,LA,22,72,45,US HOUSE,1,gen,,False,STEVE SCALISE,REPUBLICAN,False,TOTAL,193496,290410,False,20201202,False
